YearBuilt,YearRemodeled,Condition,FinSqFt,Cooling,FP_Open,Bedroom,FullBath,HalfBath,TotalRooms,LotSize,LandValue,ImprovementsValue,TotalValue,LastSalePrice,LastSaleDate,ESDistrict,MSDistrict,HSDistrict,CensusTract,Age,Remodeled,FP
1939,NA,Average,1596,No Central Air,0,3,2,0,5,55.955,364700,219000,583700,1125000,04/23/2021,Broadus Wood,Jouett,Albemarle,101,83,0,0
1981,NA,Average,1616,No Central Air,1,6,4,0,9,5.167,137800,268300,406100,300000,03/23/2012,Broadus Wood,Jouett,Albemarle,101,41,0,1
1999,NA,Average,480,No Central Air,0,0,0,0,1,80.75,328000,29900,357900,0,03/18/2021,Broadus Wood,Jouett,Albemarle,101,23,0,0
1754,NA,Very Poor,836,No Central Air,0,1,0,0,3,80.718,343400,12100,355500,300000,02/16/2022,Broadus Wood,Jouett,Albemarle,101,268,0,0
1880,NA,Fair,1224,No Central Air,1,2,1,0,4,65,520000,128900,648900,0,03/20/2015,Broadus Wood,Jouett,Albemarle,101,142,0,1
1769,1988,Average,5216,Central Air,4,4,3,0,8,5.102,124500,1044700,1169200,0,06/02/2009,Crozet,Henley,Western Albemarle,101,253,1,1
1818,1991,Average,5160,Central Air,4,6,4,1,11,453.893,2060800,1071600,3132400,0,08/05/2014,Crozet,Henley,Western Albemarle,101,204,1,1
1935,1994,Average,1408,No Central Air,0,3,1,0,5,266.166,1584300,141900,1726200,2820000,08/15/2001,Broadus Wood,Jouett,Albemarle,101,87,1,0
1880,1978,Average,1458,Central Air,1,3,1,0,6,74.5,460200,186500,646700,0,09/26/2013,Broadus Wood,Jouett,Albemarle,101,142,1,1
2005,NA,Average,1888,Central Air,1,3,3,0,6,5,115700,262900,378600,0,05/26/2004,Broadus Wood,Jouett,Albemarle,101,17,0,1
2004,NA,Average,1512,Central Air,2,3,2,1,9,42.59,349800,373500,723300,520000,05/18/2016,Broadus Wood,Jouett,Albemarle,101,18,0,1
2007,NA,Average,1760,Central Air,1,3,2,0,0,5,115700,267400,383100,48500,03/14/2000,Broadus Wood,Jouett,Albemarle,101,15,0,1
2006,NA,Average,2019,Central Air,1,3,3,0,10,5,115700,375600,491300,0,08/05/2009,Broadus Wood,Jouett,Albemarle,101,16,0,1
2004,NA,Average,1950,Central Air,2,3,3,0,8,5.5,106900,323500,430400,391000,12/07/2020,Broadus Wood,Jouett,Albemarle,101,18,0,1
1995,NA,Average,2579,Central Air,1,3,2,1,8,7.5,135400,374000,509400,48300,02/17/1995,Broadus Wood,Jouett,Albemarle,101,27,0,1
1900,NA,Very Poor,1530,No Central Air,0,4,1,0,6,18.5,226800,35800,262600,220000,10/23/2013,Crozet,Henley,Western Albemarle,101,122,0,0
1960,NA,Average,800,Central Air,0,2,1,0,4,1.5,74800,85600,160400,150000,11/18/2019,Crozet,Henley,Western Albemarle,101,62,0,0
1966,NA,Average,975,Central Air,0,2,1,0,4,0.96,59600,113200,172800,0,05/20/1991,Crozet,Henley,Western Albemarle,101,56,0,0
2001,NA,Average,2785,Central Air,1,3,2,0,0,2.963,79500,306300,385800,0,04/20/2001,Crozet,Henley,Western Albemarle,101,21,0,1
1972,NA,Average,960,No Central Air,1,2,1,0,4,40,363600,150100,513700,0,02/05/2016,Crozet,Henley,Western Albemarle,101,50,0,1
1998,NA,Average,1118,Central Air,1,1,2,0,6,30,324800,173600,498400,90000,04/03/1992,Crozet,Henley,Western Albemarle,101,24,0,1
2008,NA,Average,1600,Central Air,1,2,2,1,4,22.143,274800,321600,596400,0,08/26/2004,Crozet,Henley,Western Albemarle,101,14,0,1
1982,NA,Average,2004,No Central Air,1,4,2,0,6,5.627,81200,201000,282200,225000,01/07/2011,Crozet,Henley,Western Albemarle,101,40,0,1
1900,NA,Very Poor,1104,No Central Air,0,3,1,0,5,5.04,96200,3300,99500,101000,03/02/2001,Crozet,Henley,Western Albemarle,101,122,0,0
1996,NA,Average,887,Central Air,2,2,1,0,3,12.3,241800,233300,475100,0,06/05/2006,Crozet,Henley,Western Albemarle,101,26,0,1
1940,NA,Fair,618,No Central Air,1,1,1,0,3,3.67,99400,51500,150900,0,05/20/1991,Crozet,Henley,Western Albemarle,101,82,0,1
1936,1992,Average,864,No Central Air,1,2,1,0,4,211,1208900,68200,1277100,0,09/30/2016,Crozet,Henley,Western Albemarle,101,86,1,1
1994,NA,Average,2126,Central Air,1,4,4,1,7,34.8,271800,523700,795500,524500,03/27/2017,Crozet,Henley,Western Albemarle,101,28,0,1
2006,NA,Average,1916,Central Air,1,3,2,1,10,14.85,137200,366600,503800,483100,09/30/2016,Crozet,Henley,Western Albemarle,101,16,0,1
1895,NA,Average,1218,No Central Air,1,3,1,0,5,6,89700,76900,166600,0,07/02/2015,Crozet,Henley,Western Albemarle,101,127,0,1
1986,NA,Average,1152,Central Air,0,3,2,0,5,2,56100,140800,196900,91000,03/31/2000,Crozet,Henley,Western Albemarle,101,36,0,0
1940,NA,Very Poor,1107,No Central Air,0,3,0,0,5,96,787400,19900,807300,0,01/08/1993,Crozet,Henley,Western Albemarle,101,82,0,0
1960,NA,Poor,1272,No Central Air,2,4,1,0,8,2.045,79500,113100,192600,0,11/07/2012,Crozet,Henley,Western Albemarle,101,62,0,1
1950,NA,Fair,884,No Central Air,0,3,1,0,5,1.892,71500,52500,124000,0,11/07/2012,Crozet,Henley,Western Albemarle,101,72,0,0
1987,NA,Average,1568,Central Air,1,3,2,0,8,13.28,149800,263700,413500,0,07/01/1988,Crozet,Henley,Western Albemarle,101,35,0,1
1983,NA,Average,1184,Central Air,1,1,1,0,3,23.12,61200,186600,247800,0,11/07/2012,Crozet,Henley,Western Albemarle,101,39,0,1
1986,NA,Average,1184,Central Air,0,2,2,0,4,229.84,123000,186100,309100,0,03/10/2021,Crozet,Henley,Western Albemarle,101,36,0,0
1904,NA,Average,1335,No Central Air,0,3,1,0,6,288.139,1440300,112100,1552400,0,07/20/2006,Crozet,Henley,Western Albemarle,101,118,0,0
1964,NA,Average,2005,Central Air,1,3,1,1,5,59.75,615200,236200,851400,0,09/26/2013,Broadus Wood,Jouett,Albemarle,101,58,0,1
1984,NA,Average,4140,Central Air,1,3,2,1,6,21.232,212300,750100,962400,2820000,08/15/2001,Broadus Wood,Jouett,Albemarle,101,38,0,1
2017,NA,Average,2993,Central Air,0,2,3,0,6,5.95,111600,566900,678500,0,03/09/2007,Broadus Wood,Jouett,Albemarle,101,5,0,0
1983,1989,Average,1024,No Central Air,0,2,0,0,0,10,141000,59600,200600,10000,12/30/1899,Meriwether Lewis,Henley,Western Albemarle,101,39,1,0
1801,1984,Average,1050,No Central Air,2,2,2,0,4,15,206700,211800,418500,60000,03/29/1983,Meriwether Lewis,Henley,Western Albemarle,101,221,1,1
1977,NA,Average,1428,No Central Air,1,3,2,0,4,5.821,110200,150600,260800,207000,02/14/2013,Meriwether Lewis,Henley,Western Albemarle,101,45,0,1
1920,2016,Average,1716,Central Air,2,3,2,0,7,119.93,91200,249400,340600,0,08/18/2006,Meriwether Lewis,Henley,Western Albemarle,101,102,1,1
1920,NA,Poor,1760,No Central Air,0,3,1,0,0,14.44,199700,96000,295700,285000,08/06/2020,Broadus Wood,Jouett,Albemarle,101,102,0,0
1915,NA,Average,1546,Central Air,1,3,1,0,5,16.75,201500,186700,388200,0,08/25/2021,Broadus Wood,Jouett,Albemarle,101,107,0,1
1991,NA,Average,1400,Central Air,0,3,1,1,5,6.81,141700,190000,331700,0,04/16/2014,Broadus Wood,Jouett,Albemarle,101,31,0,0
1800,1970,Fair,1872,No Central Air,0,3,1,0,5,18.11,198800,113200,312000,0,02/23/1989,Broadus Wood,Jouett,Albemarle,101,222,1,0
1952,NA,Average,832,No Central Air,0,2,1,0,4,1.024,52600,68300,120900,50000,08/15/1997,Broadus Wood,Jouett,Albemarle,101,70,0,0
1974,NA,Average,1368,No Central Air,0,3,1,0,5,5.39,105700,163000,268700,0,02/16/2022,Broadus Wood,Jouett,Albemarle,101,48,0,0
2005,NA,Average,2248,Central Air,1,2,2,0,6,40.31,105400,458000,563400,440000,03/08/2004,Broadus Wood,Jouett,Albemarle,101,17,0,1
2018,NA,Average,1456,Central Air,0,3,2,0,6,3,101700,226200,327900,50000,01/07/1993,Broadus Wood,Jouett,Albemarle,101,4,0,0
2018,NA,Average,2832,Central Air,2,4,4,1,9,57.756,93700,542900,636600,400000,05/31/2017,Broadus Wood,Jouett,Albemarle,101,4,0,1
1986,NA,Average,1000,No Central Air,0,4,1,1,6,2.1,72900,166700,239600,225000,12/20/2016,Broadus Wood,Jouett,Albemarle,101,36,0,0
1930,NA,Average,1030,Central Air,0,3,1,0,5,2.904,70100,98200,168300,0,09/08/1998,Broadus Wood,Jouett,Albemarle,101,92,0,0
1998,2017,Average,2275,Central Air,0,3,2,0,5,33.256,236800,270000,506800,100000,08/14/1998,Broadus Wood,Jouett,Albemarle,101,24,1,0
1985,NA,Average,1454,Central Air,0,3,2,0,6,76.84,671800,281600,953400,0,07/09/2012,Broadus Wood,Jouett,Albemarle,101,37,0,0
1930,NA,Fair,856,No Central Air,0,2,1,0,4,61.6,87800,300,88100,0,02/09/2018,Broadus Wood,Jouett,Albemarle,101,92,0,0
1910,NA,Very Poor,1739,No Central Air,0,4,1,0,8,121.77,111600,31100,142700,750000,12/28/2010,Meriwether Lewis,Henley,Western Albemarle,101,112,0,0
1920,NA,Very Poor,1598,No Central Air,0,2,1,0,5,17.45,196400,26300,222700,0,12/30/1991,Meriwether Lewis,Henley,Western Albemarle,101,102,0,0
1886,NA,Fair,1861,No Central Air,1,4,1,0,6,3.88,85900,102300,188200,1675000,04/14/2017,Meriwether Lewis,Henley,Western Albemarle,101,136,0,1
1932,2018,Excellent,3315,Central Air,0,4,4,0,10,5,135500,486700,622200,568000,05/29/2018,Meriwether Lewis,Henley,Western Albemarle,101,90,1,0
1960,NA,Average,1152,No Central Air,0,2,1,0,4,5,101600,126600,228200,0,06/18/1993,Meriwether Lewis,Henley,Western Albemarle,101,62,0,0
1995,NA,Average,3429,Central Air,2,3,2,1,7,28.423,245700,697500,943200,650000,01/13/2015,Meriwether Lewis,Henley,Western Albemarle,101,27,0,1
1950,NA,Very Poor,904,No Central Air,1,3,0,0,4,228.14,135800,42400,178200,1200000,03/16/2016,Meriwether Lewis,Henley,Western Albemarle,101,72,0,1
2022,NA,Average,2175,No Central Air,1,2,2,1,5,94.298,257700,112300,370000,250000,08/06/2020,Meriwether Lewis,Henley,Western Albemarle,101,0,0,1
1980,NA,Average,2380,No Central Air,1,2,2,0,5,13.702,126600,252300,378900,0,12/30/1899,Meriwether Lewis,Henley,Western Albemarle,101,42,0,1
1907,2003,Excellent,2864,Central Air,2,4,3,1,10,96.09,214200,804100,1018300,1037500,02/14/2019,Meriwether Lewis,Henley,Western Albemarle,101,115,1,1
1982,NA,Average,2142,No Central Air,1,5,2,0,10,56.31,623400,691500,1314900,0,11/09/1992,Meriwether Lewis,Henley,Western Albemarle,101,40,0,1
2006,NA,Average,2684,Central Air,0,3,3,0,8,25,230900,485100,716000,0,08/31/2016,Meriwether Lewis,Henley,Western Albemarle,101,16,0,0
1991,NA,Average,1474,Central Air,2,4,4,0,8,14.75,176400,405800,582200,0,11/30/2001,Meriwether Lewis,Henley,Western Albemarle,101,31,0,1
2018,NA,Average,2070,Central Air,0,3,3,0,7,5.1,102700,326800,429500,0,11/13/2017,Meriwether Lewis,Henley,Western Albemarle,101,4,0,0
1996,NA,Average,1414,Central Air,0,3,2,0,6,5.1,102700,165800,268500,165750,07/23/2019,Meriwether Lewis,Henley,Western Albemarle,101,26,0,0
1856,NA,Average,4768,Central Air,6,2,1,1,6,83.02,498000,656600,1154600,0,04/16/2004,Meriwether Lewis,Henley,Western Albemarle,101,166,0,1
1910,NA,Fair,1132,No Central Air,0,3,1,0,6,8.838,131800,60900,192700,0,02/25/1988,Meriwether Lewis,Henley,Western Albemarle,101,112,0,0
1954,NA,Average,946,No Central Air,0,4,1,0,6,5.8,106000,102100,208100,0,10/05/2001,Meriwether Lewis,Henley,Western Albemarle,101,68,0,0
1987,NA,Average,1344,Central Air,0,3,2,0,5,2.344,70100,215600,285700,0,05/20/2009,Meriwether Lewis,Henley,Western Albemarle,101,35,0,0
1988,NA,Average,2332,No Central Air,0,3,3,0,7,2.163,70100,253300,323400,0,09/26/1986,Meriwether Lewis,Henley,Western Albemarle,101,34,0,0
1966,NA,Average,1544,No Central Air,2,3,2,1,6,120.28,112800,281000,393800,810000,01/02/2014,Meriwether Lewis,Henley,Western Albemarle,101,56,0,1
1989,NA,Average,2088,Central Air,1,3,2,0,7,42.862,100000,472900,572900,0,12/20/2002,Meriwether Lewis,Henley,Western Albemarle,101,33,0,1
1990,2008,Good,864,No Central Air,0,3,1,0,5,5.62,119500,166500,286000,200000,10/27/2006,Meriwether Lewis,Henley,Western Albemarle,101,32,1,0
1968,NA,Average,1640,Central Air,1,3,1,0,5,3.008,104600,143200,247800,0,03/21/2002,Meriwether Lewis,Henley,Western Albemarle,101,54,0,1
1981,NA,Average,2346,Central Air,1,3,2,0,7,15.7,213100,328800,541900,0,12/30/1899,Meriwether Lewis,Henley,Western Albemarle,101,41,0,1
1971,NA,Average,1526,No Central Air,1,3,2,0,7,15.7,260400,254200,514600,0,08/06/2003,Meriwether Lewis,Henley,Western Albemarle,101,51,0,1
2022,NA,Average,4392,Central Air,1,4,7,1,10,18.54,214400,401500,615900,0,03/31/2021,Meriwether Lewis,Henley,Western Albemarle,101,0,0,1
